Match_id,Innings,Over,Delivery,Batsman,Bowler,non_striker,runs_batsman,runs_extras,extras_type,Runs_total,player_out,mode_of_dismissal,fielders_involved
2016043001,1st innings,9,8.1,KS Williamson,VR Aaron,DA Warner,4,0,NA,4,NA,NA,NA
2016043001,1st innings,9,8.2,KS Williamson,VR Aaron,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,9,8.3,DA Warner,VR Aaron,KS Williamson,4,0,NA,4,NA,NA,NA
2016043001,1st innings,9,8.4,DA Warner,VR Aaron,KS Williamson,0,0,NA,0,NA,NA,NA
2016043001,1st innings,9,8.5,DA Warner,VR Aaron,KS Williamson,0,1,WIDES,1,NA,NA,NA
2016043001,1st innings,9,8.6,DA Warner,VR Aaron,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,9,8.7,KS Williamson,VR Aaron,DA Warner,0,0,NA,0,NA,NA,NA
2016043001,1st innings,10,9.1,DA Warner,Parvez Rasool,KS Williamson,4,0,NA,4,NA,NA,NA
2016043001,1st innings,10,9.2,DA Warner,Parvez Rasool,KS Williamson,0,0,NA,0,NA,NA,NA
2016043001,1st innings,10,9.3,DA Warner,Parvez Rasool,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,10,9.4,KS Williamson,Parvez Rasool,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,10,9.5,DA Warner,Parvez Rasool,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,10,9.6,KS Williamson,Parvez Rasool,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,11,10.1,KS Williamson,T Shamsi,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,11,10.2,DA Warner,T Shamsi,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,11,10.3,KS Williamson,T Shamsi,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,11,10.4,DA Warner,T Shamsi,KS Williamson,0,0,NA,0,NA,NA,NA
2016043001,1st innings,11,10.5,DA Warner,T Shamsi,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,11,10.6,KS Williamson,T Shamsi,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,12,11.1,KS Williamson,SR Watson,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,12,11.2,DA Warner,SR Watson,KS Williamson,4,0,NA,4,NA,NA,NA
2016043001,1st innings,12,11.3,DA Warner,SR Watson,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,12,11.4,KS Williamson,SR Watson,DA Warner,4,0,NA,4,NA,NA,NA
2016043001,1st innings,12,11.5,KS Williamson,SR Watson,DA Warner,0,0,NA,0,NA,NA,NA
2016043001,1st innings,12,11.6,KS Williamson,SR Watson,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,13,12.1,KS Williamson,VR Aaron,DA Warner,4,0,NA,4,NA,NA,NA
2016043001,1st innings,13,12.2,KS Williamson,VR Aaron,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,13,12.3,DA Warner,VR Aaron,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,13,12.4,KS Williamson,VR Aaron,DA Warner,0,0,NA,0,NA,NA,NA
2016043001,1st innings,13,12.5,KS Williamson,VR Aaron,DA Warner,4,0,NA,4,NA,NA,NA
2016043001,1st innings,13,12.6,KS Williamson,VR Aaron,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,14,13.1,KS Williamson,Parvez Rasool,DA Warner,4,0,NA,4,NA,NA,NA
2016043001,1st innings,14,13.2,KS Williamson,Parvez Rasool,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,14,13.3,DA Warner,Parvez Rasool,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,14,13.4,KS Williamson,Parvez Rasool,DA Warner,0,0,NA,0,NA,NA,NA
2016043001,1st innings,14,13.5,KS Williamson,Parvez Rasool,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,14,13.6,DA Warner,Parvez Rasool,KS Williamson,6,0,NA,6,NA,NA,NA
2016043001,1st innings,15,14.1,KS Williamson,KW Richardson,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,15,14.2,DA Warner,KW Richardson,KS Williamson,6,0,NA,6,NA,NA,NA
2016043001,1st innings,15,14.3,DA Warner,KW Richardson,KS Williamson,4,0,NA,4,NA,NA,NA
2016043001,1st innings,15,14.4,DA Warner,KW Richardson,KS Williamson,6,0,NA,6,NA,NA,NA
2016043001,1st innings,15,14.5,DA Warner,KW Richardson,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,15,14.6,KS Williamson,KW Richardson,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,16,15.1,KS Williamson,T Shamsi,DA Warner,4,0,NA,4,NA,NA,NA
2016043001,1st innings,16,15.2,KS Williamson,T Shamsi,DA Warner,1,0,NA,1,NA,NA,NA
2016043001,1st innings,16,15.3,DA Warner,T Shamsi,KS Williamson,0,0,NA,0,NA,NA,NA
2016043001,1st innings,16,15.4,DA Warner,T Shamsi,KS Williamson,6,0,NA,6,NA,NA,NA
2016043001,1st innings,16,15.5,DA Warner,T Shamsi,KS Williamson,0,0,NA,0,DA Warner,caught,AB de Villiers
2016043001,1st innings,16,15.6,MC Henriques,T Shamsi,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,17,16.1,MC Henriques,SR Watson,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,17,16.2,KS Williamson,SR Watson,MC Henriques,4,0,NA,4,NA,NA,NA
2016043001,1st innings,17,16.3,KS Williamson,SR Watson,MC Henriques,1,0,NA,1,NA,NA,NA
2016043001,1st innings,17,16.4,MC Henriques,SR Watson,KS Williamson,1,0,NA,1,NA,NA,NA
2016043001,1st innings,17,16.5,KS Williamson,SR Watson,MC Henriques,0,0,NA,0,KS Williamson,caught,KL Rahul
2016043001,1st innings,17,16.6,NV Ojha,SR Watson,MC Henriques,1,0,NA,1,NA,NA,NA
2016043001,1st innings,18,17.1,NV Ojha,KW Richardson,MC Henriques,0,0,NA,0,NA,NA,NA
2016043001,1st innings,18,17.2,NV Ojha,KW Richardson,MC Henriques,0,0,NA,0,NV Ojha,caught,AB de Villiers
2016043001,1st innings,18,17.3,MC Henriques,KW Richardson,DJ Hooda,6,0,NA,6,NA,NA,NA
2016043001,1st innings,18,17.4,MC Henriques,KW Richardson,DJ Hooda,0,0,NA,0,NA,NA,NA
2016043001,1st innings,18,17.5,MC Henriques,KW Richardson,DJ Hooda,6,0,NA,6,NA,NA,NA
2016043001,1st innings,18,17.6,MC Henriques,KW Richardson,DJ Hooda,1,0,NA,1,NA,NA,NA
2016043001,1st innings,19,18.1,MC Henriques,T Shamsi,DJ Hooda,0,0,NA,0,NA,NA,NA
2016043001,1st innings,19,18.2,MC Henriques,T Shamsi,DJ Hooda,2,0,NA,2,NA,NA,NA
2016043001,1st innings,19,18.3,MC Henriques,T Shamsi,DJ Hooda,1,0,NA,1,NA,NA,NA
2016043001,1st innings,19,18.4,DJ Hooda,T Shamsi,MC Henriques,1,0,NA,1,NA,NA,NA
2016043001,1st innings,19,18.5,MC Henriques,T Shamsi,DJ Hooda,6,0,NA,6,NA,NA,NA
2016043001,1st innings,19,18.6,MC Henriques,T Shamsi,DJ Hooda,4,0,NA,4,NA,NA,NA
2016043001,1st innings,20,19.1,DJ Hooda,SR Watson,MC Henriques,0,1,WIDES,1,NA,NA,NA
2016043001,1st innings,20,19.2,DJ Hooda,SR Watson,MC Henriques,1,0,NA,1,DJ Hooda,run out,"KW Richardson,KL Rahul"
2016043001,1st innings,20,19.3,A Ashish Reddy,SR Watson,MC Henriques,0,0,NA,0,NA,NA,NA
2016043001,1st innings,20,19.4,A Ashish Reddy,SR Watson,MC Henriques,1,0,NA,1,NA,NA,NA
2016043001,1st innings,20,19.5,MC Henriques,SR Watson,A Ashish Reddy,1,0,NA,1,NA,NA,NA
2016043001,1st innings,20,19.6,A Ashish Reddy,SR Watson,MC Henriques,1,0,NA,1,NA,NA,NA
2016043001,1st innings,20,19.7,MC Henriques,SR Watson,A Ashish Reddy,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,1,0.1,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,1,0.2,KL Rahul,A Nehra,V Kohli,2,0,NA,2,NA,NA,NA
2016043002,2nd innings,1,0.3,KL Rahul,A Nehra,V Kohli,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,1,0.4,KL Rahul,A Nehra,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,1,0.5,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,1,0.6,KL Rahul,A Nehra,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,2,1.1,KL Rahul,B Kumar,V Kohli,2,0,NA,2,NA,NA,NA
2016043002,2nd innings,2,1.2,KL Rahul,B Kumar,V Kohli,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,2,1.3,KL Rahul,B Kumar,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,2,1.4,V Kohli,B Kumar,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,2,1.5,V Kohli,B Kumar,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,2,1.6,KL Rahul,B Kumar,V Kohli,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,3,2.1,V Kohli,A Nehra,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,3,2.2,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,3,2.3,KL Rahul,A Nehra,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,3,2.4,V Kohli,A Nehra,KL Rahul,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,3,2.5,V Kohli,A Nehra,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,3,2.6,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,4,3.1,V Kohli,B Kumar,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,4,3.2,KL Rahul,B Kumar,V Kohli,0,1,WIDES,1,NA,NA,NA
2016043002,2nd innings,4,3.3,KL Rahul,B Kumar,V Kohli,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,4,3.4,KL Rahul,B Kumar,V Kohli,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,4,3.5,KL Rahul,B Kumar,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,4,3.6,V Kohli,B Kumar,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,4,3.7,V Kohli,B Kumar,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,5,4.1,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,5,4.2,KL Rahul,A Nehra,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,5,4.3,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,5,4.4,KL Rahul,A Nehra,V Kohli,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,5,4.5,V Kohli,A Nehra,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,5,4.6,KL Rahul,A Nehra,V Kohli,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,6,5.1,V Kohli,Mustafizur Rahman,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,6,5.2,V Kohli,Mustafizur Rahman,KL Rahul,0,0,NA,0,V Kohli,caught,A Ashish Reddy
2016043002,2nd innings,6,5.3,AB de Villiers,Mustafizur Rahman,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,6,5.4,AB de Villiers,Mustafizur Rahman,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,6,5.5,AB de Villiers,Mustafizur Rahman,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,6,5.6,KL Rahul,Mustafizur Rahman,AB de Villiers,2,0,NA,2,NA,NA,NA
2016043002,2nd innings,7,6.1,AB de Villiers,BB Sran,KL Rahul,2,0,NA,2,NA,NA,NA
2016043002,2nd innings,7,6.2,AB de Villiers,BB Sran,KL Rahul,2,0,NA,2,NA,NA,NA
2016043002,2nd innings,7,6.3,AB de Villiers,BB Sran,KL Rahul,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,7,6.4,AB de Villiers,BB Sran,KL Rahul,2,0,NA,2,NA,NA,NA
2016043002,2nd innings,7,6.5,AB de Villiers,BB Sran,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,7,6.6,KL Rahul,BB Sran,AB de Villiers,0,0,NA,0,NA,NA,NA
2016043002,2nd innings,8,7.1,AB de Villiers,MC Henriques,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,8,7.2,KL Rahul,MC Henriques,AB de Villiers,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,8,7.3,KL Rahul,MC Henriques,AB de Villiers,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,8,7.4,AB de Villiers,MC Henriques,KL Rahul,4,0,NA,4,NA,NA,NA
2016043002,2nd innings,8,7.5,AB de Villiers,MC Henriques,KL Rahul,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,8,7.6,KL Rahul,MC Henriques,AB de Villiers,1,0,NA,1,NA,NA,NA
2016043002,2nd innings,9,8.1,KL Rahul,BB Sran,AB de Villiers,6,0,NA,6,NA,NA,NA
